Id,Cyberbullying,Insult,Profanity,Sarcasm,Threat,Exclusion,Pornography,Spam
'1134503954685935616,0,1,1,0,0,0,0,0
'1132729973465395200,0,0,1,0,0,0,0,0
'1132686245614768129,0,0,1,0,0,0,0,0
'1133423092582244358,0,0,1,0,0,0,1,1
'1132703914275610624,0,1,1,0,0,0,0,0
'1133420996369817601,0,0,1,0,0,0,1,1
'1133458115465236480,0,0,1,0,0,0,0,0
'1133387748314890243,0,0,1,0,0,0,1,1
'1132686514129920005,0,0,1,0,0,0,0,0
'1133465401076191233,0,1,1,0,0,0,1,1
'1132768543018233856,0,0,1,0,0,0,1,1
'1133305612216033280,0,0,0,0,0,0,0,0
'1132713368362655749,0,0,1,0,0,0,0,0
'1132714009713623042,0,0,0,0,0,0,0,0
'1132821974013628417,0,0,0,0,0,0,0,0
'1135137662250209280,1,1,1,0,0,0,0,0
'1133607777685970949,0,1,1,0,0,0,0,0
'1132692855611224065,0,0,1,0,0,0,0,0
'1132686996210454528,0,0,1,0,0,0,0,0
'1132723323316580352,0,0,1,0,0,0,0,0
'1135110469147140096,0,1,1,0,0,0,0,0
'1132716188386168838,0,0,0,0,0,0,0,0
'1135194613407338496,0,0,1,0,0,0,0,0
'1133094975837753344,0,0,0,0,0,0,0,0
'1132765201634287616,0,1,1,0,0,0,1,1
'1132765152619708416,0,0,1,0,0,0,0,0
'1134386530154246145,0,0,1,0,0,0,0,0
'1135194912851279872,0,0,1,0,0,0,1,1
'1132859135249272832,0,0,1,0,0,0,0,0
'1132734560507125760,0,0,1,0,0,0,0,0
'1134773483446161409,0,0,0,0,0,0,0,0
'1133471414739247104,0,0,1,0,0,0,0,0
'1132751727327735808,0,0,0,0,0,0,0,0
'1132693447717072896,0,0,0,0,0,0,0,0
'1135200708720906240,0,0,1,0,0,0,0,0
'1133345621279150080,0,0,1,0,0,0,0,0
'1135194733918248963,0,1,1,0,0,0,0,0
'1133364445835595777,0,1,1,0,0,0,0,0
'1133312822400704523,0,1,1,0,0,0,0,0
'1132685897969872896,0,0,1,0,0,0,0,0
'1132704115145007104,0,1,1,0,0,0,1,1
'1133143801269170176,0,0,1,0,0,0,0,0
'1132859078018031617,0,0,0,0,0,0,0,0
'1132731079738241026,0,0,1,0,0,0,1,1
'1133442759753445376,0,0,1,0,0,0,1,1
'1133814374764650496,0,1,1,0,0,0,0,0
'1135198420766023682,0,1,1,0,0,0,0,0
'1133194928174108672,0,0,1,0,0,0,0,0
'1133405708169490433,0,1,1,0,0,0,0,0
'1132988273360605186,0,0,1,0,0,0,0,0
'1133376239669063681,0,0,1,0,0,0,1,0
'1133153001705824258,1,1,0,0,0,0,0,1
'1132766155423322115,0,0,1,0,0,0,1,1
'1132716276625891328,0,1,1,0,0,0,0,0
'1132713707614744576,0,0,1,0,0,0,0,0
'1135192240542945280,0,0,1,0,0,0,0,0
'1132686850919940096,0,0,0,0,0,0,0,0
'1132714573914525696,0,0,0,0,0,0,0,0
'1133181486620971008,0,1,1,0,0,0,0,0
'1132717243593314305,0,0,1,0,0,0,1,1
'1134178413223137280,0,0,0,0,0,0,0,0
'1134503205210116096,1,1,1,0,0,0,0,0
'1132925812251025409,0,1,1,0,0,0,0,0
'1132716479076491264,0,0,1,0,0,0,0,0
'1133477423473938432,0,0,0,0,0,0,0,0
'1133593638636679169,0,0,1,0,0,0,1,1
'1132858805337767936,1,1,1,0,0,0,0,0
'1132685909449535493,0,0,0,0,0,0,0,0
'1133839380857139201,0,1,1,0,0,0,0,0
'1132702432864100352,0,0,1,0,0,0,0,0
'1132703256063414273,0,0,1,0,0,0,0,0
'1133372281856638976,0,1,1,0,0,0,0,0
'1135201600446840832,0,1,1,0,0,0,0,0
'1133438800724660225,0,0,1,0,0,0,0,0
'1132686280762937344,0,0,1,0,0,0,0,0
'1132685629748338688,0,0,0,0,0,0,0,0
'1135194554423025666,0,0,1,0,0,0,0,0
'1132857374052626432,0,0,1,0,0,0,0,0
'1132701836077555712,0,1,1,0,0,0,0,0
'1132729404600324096,0,0,0,0,0,0,0,0
'1133136459278348288,0,0,1,0,0,0,1,1
'1132752237212577792,0,0,1,0,0,0,0,0
'1132988645139394562,0,0,0,0,0,0,0,0
'1133463005897924608,0,1,1,0,0,0,1,1
'1133417085747552256,0,0,1,0,0,0,1,1
'1132825479109591040,0,0,1,0,0,0,0,0
'1133468032326438912,0,0,1,0,0,0,0,0
'1133442623904112640,0,1,1,0,0,0,1,1
'1132715574231031808,0,0,1,0,0,0,1,1
'1133459045002563584,0,0,1,0,0,0,1,1
'1132857504197693440,0,1,1,0,0,0,1,1
'1133368781361823744,0,0,1,0,0,0,0,0
'1132693113565327361,0,0,1,0,0,0,0,0
'1132732610206195713,0,0,1,0,0,0,0,0
'1133103421597409280,0,0,1,0,0,0,0,0
'1132742195017003008,0,0,1,0,0,0,0,0
'1132992375989493761,0,0,1,0,0,0,1,1
'1132924505410756608,0,1,1,0,0,0,1,1
'1133152694909231105,0,0,0,0,0,0,0,0
'1133417898708537347,0,0,1,0,0,0,1,1
'1132692515402919936,0,0,1,0,0,0,0,0
'1132702972218097666,0,0,0,0,0,0,0,0
'1132728841464627200,0,0,1,0,0,0,0,0
'1133464992668356611,0,0,1,0,0,0,0,0
'1133436787102105600,0,0,1,0,0,0,0,0
'1132704196921368576,0,1,1,0,0,0,1,1
'1135197595347902471,0,1,1,0,0,0,0,0
'1132693389529571331,0,1,1,0,0,0,1,1
'1134515327541424129,1,1,1,0,0,0,0,0
'1132703359343796230,0,1,1,0,0,0,1,1
'1132992876638593024,0,0,1,0,0,0,0,0
'1135074575316918273,0,0,1,0,0,0,0,0
'1132715645810794496,0,0,1,0,0,0,0,0
'1132692091069456384,0,0,1,0,0,0,0,0
'1133477213884571649,0,0,0,0,0,0,0,0
'1133181447244865536,0,1,1,0,0,0,1,1
'1134847134505807872,0,0,0,0,0,0,0,0
'1132859881889779718,0,1,1,0,0,0,0,0
'1133145279916576768,0,0,1,0,0,0,0,0
'1132730735343726592,0,0,1,0,0,0,0,0
'1135179471495999488,0,1,1,0,0,0,1,1
'1135037397526298625,0,1,0,0,0,0,0,0
'1132727445847793664,0,0,1,0,0,0,0,0
'1134524049579814912,0,0,1,0,0,0,0,0
'1134506911678816256,1,1,1,0,0,0,0,0
'1132732323580002305,0,0,1,0,0,0,0,0
'1135022759715774466,0,1,1,0,0,0,0,0
'1132703031026282496,0,1,1,0,0,0,0,0
'1135197315873091585,0,0,1,0,0,0,0,0
'1133377551856996353,0,0,1,0,0,0,0,0
'1132687047276322816,0,0,1,0,0,0,0,0
'1133340360346865664,0,1,1,0,0,0,0,0
'1135195855739392001,0,0,1,0,0,0,0,0
'1132702857927495681,0,1,1,0,0,0,1,1
'1132703925545721856,0,1,1,0,0,0,0,0
'1132686944666824704,0,0,1,0,0,0,0,0
'1133014668275081216,0,0,1,0,0,0,0,0
'1132730846220308480,0,0,1,0,0,0,0,0
'1132702976110469121,1,1,1,0,0,0,0,0
'1132734449047810048,0,0,0,0,0,0,1,1
'1133445509547470848,0,0,1,0,0,0,1,1
'1132724863200743424,0,0,1,0,0,0,0,0
'1132829051486269441,0,0,1,0,0,0,1,1
'1132856217079095296,0,1,1,0,0,0,0,0
'1135041857162027008,0,0,0,0,0,0,0,0
'1135199442221576194,0,1,1,0,0,0,0,0
'1132735484118093825,0,0,1,0,0,0,0,0
'1135034863759888384,0,1,1,0,0,0,1,1
'1135152240178556928,0,0,1,0,0,0,0,0
'1132768461325774848,0,0,1,0,0,0,0,0
'1132734022306619392,0,1,1,0,0,0,0,0
'1132910464848023553,1,1,1,0,0,0,0,0
'1132724253999206400,0,0,0,0,0,0,0,0
'1133430513287532544,0,0,0,0,0,0,0,0
'1132686565153525760,0,0,1,0,0,0,1,1
'1132989482209169409,0,0,1,0,0,0,1,1
'1132692908782440448,0,0,1,0,0,0,0,0
'1132730875597250561,0,0,1,0,0,0,1,1
'1133804687256412161,0,1,1,0,0,0,0,0
'1132702569904705536,0,1,1,0,0,0,0,0
'1132692279783825408,0,0,0,0,0,0,0,0
'1135130407190573056,0,1,1,0,0,0,1,1
'1132729684439883776,0,0,0,0,0,0,0,0
'1132685408863547392,0,0,0,0,0,0,0,0
'1132735998889222144,0,0,1,0,0,0,0,0
'1133432058607484928,0,0,1,0,0,0,1,1
'1132703807031390208,0,0,1,0,0,0,0,0
'1132715866209046529,0,0,1,0,0,0,0,0
'1132723025516879872,0,0,0,0,0,0,0,0
'1132988370072870912,0,0,1,0,0,0,0,0
'1134506806368247811,0,0,1,0,0,0,1,1
'1132765570632495111,0,0,1,0,0,0,1,1
'1133817000407511040,0,0,1,0,0,0,0,0
'1133222539914874880,0,0,1,0,0,0,1,1
'1133172221659222020,0,0,0,0,0,0,0,0
'1124633081321799681,0,0,0,0,0,0,0,0
'1135027676308262912,0,0,1,0,0,0,0,0
'1132990610468691968,0,0,1,0,0,0,0,0
'1132857942619803648,0,0,1,0,0,0,1,1
'1135194341582880768,0,1,1,0,0,0,1,1
'1132830426706223104,1,1,1,0,0,0,0,0
'1133314484179820545,0,0,0,0,0,0,0,0
'1132989346963869697,0,0,1,0,0,0,0,0
'1132702637365837826,0,0,0,0,0,0,0,0
'1133174242558849024,1,1,1,0,0,0,0,0
'1132765400956100608,1,1,1,0,0,0,0,0
'1132701972048613376,0,1,1,0,0,0,0,0
'1133360300986519554,1,1,1,0,0,0,0,0
'1132734973759377410,0,1,1,0,0,0,0,0
'1133473021929373696,0,0,1,0,0,0,1,1
'1135200028497272832,0,0,1,0,0,0,1,1
'1132692940109885451,0,0,1,0,0,0,1,1
'1133468393384894464,0,0,1,0,0,0,1,1
'1132840357337718784,0,0,1,0,0,0,0,0
'1132991402328174592,0,0,1,0,0,0,0,0
'1133402380601581569,0,0,1,0,0,0,1,0
'1133245749364383744,0,0,1,0,0,0,0,0
'1132770016292671488,0,0,1,0,0,0,0,0
'1132704025953144832,0,0,1,0,0,0,0,0
'1134526783695478784,0,0,1,0,0,0,0,0
'1134141939144511488,0,0,0,0,0,0,0,0
'1133403058854125568,0,0,1,0,0,0,1,1
'1133429122913447938,0,1,1,0,0,0,0,0
'1132685659410321408,0,0,1,0,0,0,0,0
'1135125808387956737,0,0,1,0,0,0,1,1
'1132685930475786240,0,0,1,0,0,0,1,1
'1135146067387924480,0,0,1,0,0,0,1,1
'1133405638258769922,0,0,0,0,0,0,0,0
'1132722752757145601,0,0,1,0,0,0,0,0
'1132702683750641664,0,0,1,0,0,0,1,1
'1132748195564531713,0,0,1,0,0,0,0,0
'1133308620622520320,0,0,0,0,0,0,0,0
'1133241737344901121,0,0,1,0,0,0,0,0
'1132727598616850432,0,1,1,0,0,0,0,0
'1132703691612577793,0,0,1,0,0,0,0,0
'1132858989803212800,0,0,0,0,0,0,0,0
'1132725823079718912,0,0,0,0,0,0,0,0
'1133297743408095232,0,1,1,0,0,0,1,1
'1135199422554312705,0,1,1,0,0,0,0,0
'1133419723889233921,0,0,1,0,0,0,1,0
'1132821803737395200,0,0,1,0,0,0,0,0
'1135197391722860544,0,1,1,0,0,0,1,1
'1132701855497302017,0,0,1,0,0,0,0,0
'1132853694557499398,0,1,1,0,0,0,0,0
'1132956918933282816,0,0,0,0,0,0,0,0
'1135201760404893696,0,0,1,0,0,0,0,0
'1135201212922417152,0,0,1,0,0,0,0,0
'1133396306708324352,0,0,1,0,0,0,1,1
'1133420798260252673,0,0,1,0,0,0,1,0
'1132852846905483264,0,1,1,0,0,0,1,1
'1132686901880602625,0,0,1,0,0,0,0,0
'1133358940085997568,1,1,1,0,0,0,0,0
'1133265506448957440,1,1,1,0,0,0,0,0
'1132692265992900610,0,0,1,0,0,0,0,0
'1132732026422005767,0,0,0,0,0,0,0,0
'1133872167781904384,0,1,1,0,0,0,0,0
'1132693400816369669,0,0,0,0,0,0,0,0
'1132692327305056256,0,0,1,0,0,0,0,0
'1132733559351971840,0,0,0,0,0,0,0,0
'1133396622640128000,0,0,1,0,0,0,1,0
'1133369433605464064,0,0,1,0,0,0,0,0
'1132729789817720832,0,0,1,0,0,0,0,0
'1132731584652693505,0,0,0,0,0,0,0,0
'1132729667407028224,0,0,1,0,0,0,1,1
'1132701870298927105,0,1,1,0,0,0,0,0
'1132692908631633920,0,0,1,0,0,0,0,0
'1132702195353313286,0,0,0,0,0,0,0,0
'1132829195589935104,0,0,1,0,0,0,0,0
'1132856016435990528,0,1,1,0,0,0,0,0
'1132701760227823616,0,1,1,0,0,0,1,1
'1132852873681887233,0,0,1,0,0,0,0,0
'1133147281706889216,0,0,0,0,0,0,1,1
'1132959598099476482,0,0,1,0,0,0,1,1
'1133424342124191745,0,0,1,0,0,0,1,1
'1135051777315868672,0,0,1,0,0,0,1,1
'1132702147613798400,0,1,1,0,0,0,0,0
'1132729945967534081,0,0,0,0,0,0,0,0
'1133057202200166400,0,0,1,0,0,0,0,0
'1133121090404921345,0,0,1,0,0,0,0,0
'1133437584435286017,0,0,1,0,0,0,1,1
'1132993580186759168,0,0,1,0,0,0,0,0
'1132735853057519616,0,0,1,0,0,0,0,0
'1133390949030268928,0,0,1,0,0,0,1,0
'1132988335520141312,0,0,1,0,0,0,0,0
'1132735452094631938,0,0,1,0,0,0,0,0
'1133415438396854277,0,0,1,0,0,0,1,0
'1133360117007757315,0,0,0,0,0,0,0,0
'1133398385627664385,0,0,1,0,0,0,1,1
'1133429121965600769,0,1,1,0,0,0,0,0
'1133278914044936192,0,1,1,0,0,0,0,0
'1133409275940933634,0,0,0,0,0,0,0,0
'1132686956989517824,0,0,1,0,0,0,0,0
'1132685930517729280,0,0,1,0,0,0,0,0
'1133183198631014401,0,0,1,0,0,0,0,0
'1132687072039448577,0,0,0,0,0,0,0,0
'1132752623436804096,0,0,1,0,0,0,0,0
'1132828621893242880,0,0,1,0,0,0,0,0
'1132693483490201600,0,0,1,0,0,0,0,0
'1132686378184118272,0,0,1,0,0,0,0,0
'1132693319593730048,0,0,1,0,0,0,0,0
'1132703014228307973,0,1,1,0,0,0,1,1
'1132727240872124416,0,0,1,0,0,0,0,0
'1133451734381154304,0,0,1,0,0,0,0,0
'1132729649304408065,0,0,1,0,0,0,0,0
'1133927100916871169,0,0,1,0,0,0,0,0
'1132717005641998337,0,0,1,0,0,0,0,0
'1132736566722359296,0,1,1,0,0,0,1,1
'1133854355273277440,0,0,1,0,0,0,0,0
'1132764326970970112,0,0,1,0,0,0,0,0
'1135032279351345152,0,0,1,0,0,0,0,0
'1132732829601869824,0,0,1,0,0,0,0,0
'1132686607964876801,0,0,1,0,0,0,0,0
'1132716566972387329,0,0,1,0,0,0,0,0
'1133387324765757440,0,1,1,0,0,0,1,1
'1133443347463507969,0,0,1,0,0,0,1,1
'1135115312150528000,0,1,1,0,0,0,1,1
'1133434734548328448,0,1,1,0,0,0,0,0
'1132713777311338496,0,0,1,0,0,0,0,0
'1132701991220731906,0,0,0,0,0,0,0,0
'1133424297853239296,0,0,1,0,0,0,1,0
'1133425611714768896,0,0,1,0,0,0,0,0
'1132714858452082689,0,0,1,0,0,0,0,0
'1135108518552461313,0,0,1,0,0,0,1,1
'1132713015701327873,0,1,1,0,0,0,0,0
'1132992459410219008,0,0,0,0,0,0,0,0
'1132856456930299905,0,0,1,0,0,0,1,1
'1135026978178908160,0,1,1,0,0,0,1,1
'1132989899823562752,0,1,1,0,0,0,0,0
'1132837274448781312,0,0,0,0,0,0,0,0
'1133415577517731841,0,0,1,0,0,0,1,0
'1132686993631141888,0,1,1,0,0,0,0,0
'1132834601032925185,0,0,1,0,0,0,0,0
'1132731258138779649,0,0,1,0,0,0,0,0
'1133170146615463936,0,1,1,0,0,0,0,0
'1132724061933645824,0,0,1,0,0,0,0,0
'1135094813852864512,0,0,1,1,0,0,0,0
'1132829977689436161,0,0,1,0,0,0,0,0
'1133355420549095424,0,0,1,0,0,0,0,0
'1132724010670874626,0,0,1,0,0,0,0,0
'1132693069151608832,0,1,1,0,0,0,0,0
'1133414701725962240,0,0,1,0,0,0,1,0
'1135080190210707461,0,0,1,0,0,0,0,0
'1135034002719617024,0,0,0,0,0,0,0,0
'1133352518707286016,1,1,1,0,0,0,0,0
'1135108815458885632,0,1,1,0,0,0,0,0
'1133447924749361152,0,0,1,0,0,0,0,0
'1134510897265647616,0,0,1,0,0,0,1,1
'1132730008806367232,0,0,0,0,0,0,0,0
'1132994756164800513,0,0,0,0,0,0,0,0
'1132767475450417153,0,0,1,0,0,0,0,0
'1132728723743084550,0,0,1,0,0,0,1,1
'1134899760425504769,0,0,0,0,0,0,0,0
'1133467926701445120,0,0,1,0,0,0,0,0
'1132990450443390977,0,1,1,0,0,0,0,0
'1132736419225411584,0,0,0,0,0,0,0,0
'1135174766313103361,0,0,1,0,0,0,0,0
'1135193305292034048,0,0,1,0,0,0,0,0
'1132990727435300865,0,0,1,0,0,0,0,0
'1133321916343836672,0,1,1,0,0,0,0,0
'1135201936834224128,0,1,1,0,0,0,1,1
'1132724665653301250,0,0,1,0,0,0,0,0
'1132703237117628416,0,0,0,0,0,0,0,0
'1135199727606226944,0,0,1,0,0,0,1,1
'1132858603772289025,0,0,0,0,0,0,0,0
'1133967931522654208,0,0,1,0,0,0,0,0
'1132989503075864577,0,0,1,0,0,0,0,0
'1132702049672540161,0,0,0,0,0,0,0,0
'1132703365329281024,0,0,1,0,0,0,0,0
'1133459486650191872,0,0,1,0,0,0,1,1
'1133479767187943424,0,1,1,0,0,0,1,1
'1132692078910214145,0,0,1,0,0,0,0,0
'1132770127647088640,0,0,1,0,0,0,1,1
'1133132673763819520,0,0,1,0,0,0,0,0
'1133028494848462849,0,0,1,0,0,0,1,1
'1132684894860001280,0,0,1,0,0,0,0,0
'1132713058671816704,0,1,1,0,0,0,1,1
'1135196707757678596,0,0,1,0,0,0,0,0
'1134721167246352384,0,0,0,0,0,0,0,0
'1135105835183562752,0,0,1,0,0,0,1,1
'1133917903332335616,1,1,1,0,0,0,0,0
'1133397538914988033,0,0,1,0,0,0,0,0
'1132724535185289216,0,0,0,0,0,0,0,0
'1133326901748129792,1,1,1,0,0,0,0,0
'1134105323684401157,0,0,0,0,0,0,0,0
'1133273663996923905,0,0,1,0,0,0,0,0
'1132702469660614656,0,1,1,0,0,0,0,0
'1132703717482946561,0,0,0,0,0,0,0,0
'1133455533606952960,0,0,0,0,0,0,0,0
'1133409233494511617,0,0,1,0,0,0,1,1
'1135029980012974080,0,0,0,0,0,0,0,0
'1133873804730601472,0,1,1,0,0,0,0,0
'1132703940196220928,0,0,1,0,0,0,1,1
'1132686631134060544,0,0,1,0,0,0,0,0
'1132692615567069184,0,0,1,0,0,0,0,0
'1133374851333480448,0,0,0,0,0,0,0,0
'1134422686556479493,0,1,1,0,0,0,0,0
'1133418139918557184,0,0,1,0,0,0,1,1
'1132684820901957634,0,0,1,0,0,0,0,0
'1132716721566081024,0,0,1,0,0,0,0,0
