Tweet,label
"RT @AnAngelicBeing: I been acting like I'm good but deep down , I need some pussy 😬😪😣",1
@ThomasJTobin1 Shut the fuck up you ignorant cunt.,1
RT @themikalaleeann: If he got colored lights in his room he’s a slut,0
"people don’t see that tho , that’s soooo sexy for a man to stay on your ass about doing better, going to school, pushing you when you feeling like giving up.😩🤩🥰 https://t.co/tsXUl4mXEz",0
RT @___envied: Hell yea but I only put nuggets cuz I couldn’t put there chicken box over royals. And shit like 5 for a 10pc w/ fries https:…,0
@stewartdonald3 @SunderlandAFC Get rid of that Scottish cunt then,1
"the worst part of reinstalling skyrim is reinstalling everything
i'm a dumb bitch and didn't backup my 200+ modlist so now i gotta go by memory
hooray",1
@realDonaldTrump You really are Retard Don!,1
RT @BlackMilk_69x: You gone get this dick ima give you what you've been asking for https://t.co/WzpN9T1yAh,0
I think my favorite character in Friday Night Lights is Smash Williams' mom. She dont take shit from anybody lmao,0
"It's a verse of Macarena, right before the chorus. You ignorant foo! https://t.co/SXT63aOprW https://t.co/vCse519XAa",1
DAMN!! Supreme boys💫 https://t.co/KJFwCaiLgI,0
RT @Ceedaaayy: you know you lost when you gotta keep explaining shit. 😂😂😂 https://t.co/1zd6k6VWls,0
@GNev2 Where is this cunt now ?? Hiding in the cave ?,1
"RT @LongTongueTho: I love eating pussy. 
That’s it. 
That’s the tweet. 
 https://t.co/j9ILCGxaXQ",1
go lick your father's balls https://t.co/WTHhCzLrtx,1
"And another shot of her wet pussy on my cock. Literally Dripping down my balls 🔥🔥🔥💦💦💦💦-C 
#Milf #Dilf #realcouple #BBG https://t.co/aSwvC7wL17",1
@solidbigh Frank lampards derby county got to you and your club hahahahaha your the one crying you soft cunt,1
RT @stopsuckingserg: Where’s the girls with good pussy and loyalty at ???,1
@YouTube @TSeries fuck you @YouTube. you took everything from me. my wife. my kids. my house. my job. my fucking everything. I hate you with such an undying passion you fucking incel. you absolute bumbling buffoon. ur ugly and have a dumb face. fuck off. cunt.,0
Did you start dating your wife or girlfriend because you knew she was a slut for cock? #cuckoldquestion #cuckold #cuckoldinggoals,0
"@temptress_park @fairymaster100 NO YOU, DISTORTED ASS CHUCKY CHEESE RAT ASS BITCH",1
"@karenbbooth Hussy, harlot, whore, doxy, slut, tramp, floozy, baggage, slattern, jade, tart, moll, strumpet, bawd.... https://t.co/hl2QPKpjba",1
im always a slut for Hobo and Glunkus,1
RT @ambxsss: I hate a “I don’t like soda” ass bitch,1
"Get paper 💰 , pussy come later",1
@UnitedLukee @F2Tekkz Looks like a friendly retard🤐,1
maybe im fag,0
"G Nev - ‘you couldn’t shoot 20 years ago son! Why the hell you trying today..!?’ 

Haha 😂 brilliant @GNev2 https://t.co/4ufQXbBAQb",0
"@YoungCouple1470 Ahhh, fuck yeah me me me",0
"GIVE ME YOUR COCK, SIR https://t.co/czpkpgvIBw",0
“Tryna give a nigga THE BETES theytalmmbouuut” 😂😂 https://t.co/pWvpgGoBcQ,0
My #clip - Cum on my boots and lick your dirt just sold! https://t.co/hZFPzN18QC #RUINEDORGASMS via @Clips4Sale https://t.co/CvBUCmLJO7,1
Yummy yummy pussy Natasha nice https://t.co/Fj547IE4PD,1
@pochspurs nah he's just a retard 😂,1
"Fuck it here y’all gooooo
Hard copies out next week 
Check out my new album ""I&amp;#39;m Just Playing With Em"" distributed by @DistroKid and live on Spotify! https://t.co/Cpf3H2oabn",0
RT @Crystaalmunoz: Make her pussy wet not her eyes https://t.co/mauo1nOsNa,0
#milf #sexy #horny #legs #heels #tits #pussy #amateur #mom #momafterdark #slutqueen #hotwife #whore https://t.co/dkUHmi6xum,1
"@JoshSuperlink &gt;hahaha Sanae slut lol

https://t.co/9iz8br1qfa",1
"If your energy is fucked up, the cat will fuck you up. #ilovekitties 💛 https://t.co/5q49pj8Gax",1
@s2them91 You’ve always had the hottest cum shots,0
@Dn3llTv You gotta ask ya subs to be scouts and let them know who’s on got next ..i know it sounds kinda pussy but at least it saves you from being. A screen shot/video for these lame ass niggas,0
RT @aftersh0w: Do the lads on love island not understand that being a massive cunt isn’t attractive or do the producers purposely choose pe…,1
@lilbootyyjudy @HELLARARECANDY U don’t even have tattoos u weird ass bitch and btw ur art is fucking trash,1
❤️❤️ I am certain the two of you will grow old and weary together. https://t.co/LbXPhPDoG9,0
Doctor strange’d his ass 😂 https://t.co/N50mzcU5f0,1
No amount of hand sanitiser can clear the sins of walking into a portaloo that is slathered in shit. Thanks All Points East!,0
MARISA SAID PISS https://t.co/Z7pHpzT2RY,0
@TWCM7489 @KneeeCo55 That would piss me the fuck off naw that is great but shut the fuck up,0
@jaaaymaaan 13 with hands. Hell I am proud like we related,0
"@JakobJakobi Bruh he forever a mark , that’s why he got his ass beat in his own house lmao",0
Clearly my nigga know wassup 💪🏾,1
@Mladen76084971 Beautiful hairy pussy the natural way ❤️,0
"RT @itsSparkle_: Other niggas be like aw that nigga is lucky, I just say nah these niggas is stupid. Ain’t no way they out here fuckin it u…",1
"@Corrupt_UAHero ""Your a sick and twisted boy!"" She spat at him angrier than before.

If his goal was to piss her off at this point, he was doing a great job. She wished she could use her quirk, then she could just drag him into the void and leave him there.",0
@CRFC4ME State of this cunt 😭🤦‍♂️,0
@aeroadcf @ian_radioguy @MBCyclingTM @TfL @streetcamlondon @CycleIslington @london_cycling @psimonk I always stop at traffic lights cunt,1
RT @11InchKing: Niggas Been Grabbin My Dick &amp; My Ass All Weekend 😭,1
TUESDAY'S GRAY AND WEDNESDAY TOOTHURSDAY I DONT THINK I CAN RESIST Playing the classic sega genesis game GRANDPA PISS.,1
@lewd_Ralsei's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,1
"RT @Mega_African: Keeps on creaming!
#black #pussy #cream #cum #masturbating https://t.co/R4SZaMF8HP",1
id luv to fuck that hot ass,1
"@OsbornOn1 @Ashleighdunne15 Has to be done mate. Took me 9 hours on Friday as the M1 was closed. Did I sit in my car, fuming, thinking to myself is this really worth it? What am I doing with my life? Why’s that cunt on the road as this time? Where the fucks he going?  No. No I didn’t.",0
@OumyLightwood Well I don’t know what you were expecting when you told me ‘make me a Magnus slut’ 😂,1
"@familygrowing1 @Section322RowX @tom_cureton @TremaineMU @skydovva @USArmy Oh it absolutely helped us rebuild. And the occupation kept us save from Russia, sure. But we had to completely reinvent our country and our democracy. Nobody could help us with that. And we did a damn good job",0
@RatCatcherMpls @sledskillz No one wants to die because they got Typhoid from a Hobo biting their dick. It's an inglorious way to go out.,0
"Bitch please, who are you kidding?",1
@D_Ooshcruft Dean Smith is a cunt...,0
@FTBaileySCFC @Tom_Pope9 Definitely. I don’t enjoy hammering anyone with anything other than banter. I felt for @JoshuaTymon when people were piping up when the lad obviously felt really low but @SBerahino is a cunt through and through.,0
There’s a huge one in my development already https://t.co/Vm3iMcX9uG,0
"@flightcrew @realDonaldTrump With crowds like that, there is only two ways he can lose.
1. Of his own choosing.
2. Voter Fraud.
Should have started working to stop it in 2016.
We would have had the House &amp; Senate, the wall, no witch hunt, no terrorist like Omar in Congress &amp; been kicking ass worldwide.",0
lmaooooo period https://t.co/uXt6M6odmt,0
Lmao damn Q 😂😂😂😂😂😂 https://t.co/luQHTb0A4Y,0
Stupid ass bitch,1
"@Viewamnesia @StLouisBlues Hey retard, the refs aren't rigging the game, you're just pissed and using any excuse to get over it",1
@charmingJOESTAR Your not evil just a bitch .....that what separates you and your dad,0
"@GamingINTELcom Make updates on the only real modern warfare cod before creat a new one worth than the last, bunch of retard",1
@fullholes's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,1
I had this exact shit happen to me... like nigga bye. https://t.co/35883T5fjT,0
"RT @susan_dte: She is a deep throat machine. A human flesh light. With these skills, she is the #ThroatOfTheDay A true #deepthroatenthusias…",0
It’s 2019 and these boys are still getting upset upon rejection and taking to slut shaming women as a defense. Disgusting.,1
yes I’m proud of me I’m proud of me being the shit,0
I’d do some cute ass shit all da time if I had a gf 😭 https://t.co/WPdfP7J8sP,1
Fuck riot 🙂,0
Hahahaha puta https://t.co/d8gxeRnRyX,1
RT @Mxtra845: @xRellz_FBL play my nigga shit we going viral !!!,0
"RT @D62Darya: How much more of the mosque, of prayer and fasting?
Better go drunk and begging round the taverns.
Khayyam, drink wine, 
Hour…",0
Vegeta be chilling now. You can tell he got a thc pen in his armor.. nigga be way too nice to goku annoying ass https://t.co/SAc80zBq34,1
RT @CarrieEmberlyn: Wake up with some Carrie 😘🗝 #ts #trans #carrieemberlyn #pornactress #model #transgender #sexy #slut #pureTS https://t.c…,1
RT @dopeitskayla: None of these female rappers impress me 😭. I’m just so tired of hearin then talk about how wet they pussy is and pussy th…,0
Phat pussy energy 😫😫😫 https://t.co/avMdPnDGqQ,1
Hahahahaha Yass Ruiz Yass ya wee Mexican cunt,1
@georgesthesun Damn sis why u be trippin,0
"Sometimes, I feel like a personal trainer, but for butt fucking.  I'm looking at YOU, anal whore 😉😂😂",0
THE MOMENT ONE OF YOU SAY “yOu gOtTa tHrOW ChEEse oN iT!” send me your location we gotta find out what went wrong in your life https://t.co/bujCN2TPkN,0
RT @inkyubus13: Whole plan was based on chance and not actual machinations and also he looked so boring like can we at least get a bomb ass…,1
@bubblefag @maddmaxv_ Bitch periodt omg this tea so hot make my pussy wett😭,0
my depressed ass lit rally did not care that harry was at the gucci show and then he showed up flaunting his monster cock and my depression got cured. god shit,1
"RT @marchimark: That feeling when someone travels hundreds of miles to try and call you out in public only to get their ass handed to them,…",1
I’d be terrified they’d shoot me in the back. https://t.co/heY9brlJLg,0
"@ToALouse @Snowy273 So what have I lied about ya clown? Al try and have an open and fair debate but the second somebody tries to call me anything or make me out to be a liar, then al happily slag he off ya daft cunt.",0
@CardsChat Take a piss,1
Who is this cunt on the beeb saying the EU will choose no deal for us? Seriously?,0
"@Protect_Wldlife Fuck sakes, I will be the first one to kick him in the ball the fucking bastard. https://t.co/AWctntFbIc",0
@proddontsleep This man put FUCKING REVIVAL in classics. Safe to say this cunt has the worst taste in music I have ever seen in my life 🤥,1
@hifionthedownlo It’s like that on almost every post. Its so tiring. But then again these are probably the same fans who called me a stupid cunt for saying RCM was my favorite album so... 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️,0
RT @carol_dhii: if she replies to your sarcasm with sarcasm that’s a whole ass wife... 😊,1
Lmao u just mad cause I dropped yo desperate ass like a bad habit u a fake yo mug shot ass bitch 😂 https://t.co/jHVGbaxSHG,1
"RT @PapitoSupreme_: My Dumbass: 

“I’ll be Right There Baby” 😒 https://t.co/FXml3BEotm",1
Damn dumb hoe https://t.co/9p2ugCim5C,1
RT @victtorrriaaa: It’s officially burn your ass on leather seats szn,1
I hate when people leave me on seen sent delivered or just flat out ignore me that shit piss me off make me never wanna talk to mfs again,0
"@GoddessDommelia Same here 🤣 🤣 🤣 I defo think the average sized cock should be 6 inches.

Being fair I swear there's a particular type of cock that's attracted to me most lol its like there's that big 8 inch curved wide dick shape again!

Hope you've had an ace time!",0
some of y’all don’t need to be business owners if you can’t maintain a professional attitude. the makeup artist did the most idc if the client had an attitude the whole time or not. https://t.co/GBC16uoBik,0
I better cum soon from prostate stimulation via bumpy Kent truck or I'm quitting !! I gave them fair warning in my application !!,0
"RT @MistressAmba: “I don’t want to relapse too hard” ...Well slut, you’re not the one who gets to decide how hard you relapse.",1
RT @XOXOALACiA2X: iM SO GLAD iHAVE NEVER BEEN A NASTY EViL HEARTED ASS PERSON 😇,1
I'll celebrate anniversaries of this event. Cunt. https://t.co/whWBf9Q3TL,0
@Fryinqs @NickOptimals Ur a piece of shit dog,1
"@RobTheSpookyMan //commission me 

And pay me in Constantine dick

Will also accept Cecil

(Would say rob, but I get that anyway)",0
RT @ThickDickPapi: Anyone want to lend a hand... or mouth... or ass https://t.co/nh4TgDoV6A,1
"@sun2jay I didn’t see that, she’s just saying the conversation regarding rape has to change. An alleged ‘slut’ can still be a victim of rape.",1
"I’m thinking of a sign for my front door to deter solicitation.
1. Home stricken with Ebola virus. We contracted it from the doorbell.
2. Touch the doorbell/knock and I’ll cut you. Which is kinder? #dontcome #troll #nosolicitation #crabby",0
The problem is not the liars since one cannot stop them from opening their mouths. The problem is the media that allows the liars to lie in their microphones 🎤.  Please stop offering your microphones 🎤. https://t.co/23kvBjRcdt,0
@Kate_QST OI FUCK OFF YOU FUCKING CUNT,1
It's called Freedom of Conscience. You dumb fucking retard. #cdnpoli https://t.co/3cRYkK6hwi,1
Honestly howling at me slamming the breaks on cause I had to stop at an unexpected junction and Jen fuckin flies into the drivers seat the cunt was near enough on my knee hahaha proceed the the motherfuckin route bitches what’s good xo,0
IF YOU ARE A BLUE COLLAR JOB GUY YOU HAVE TO BE A DICKLESS CUNT !!!!! 1D OR EVEN HEHEHEHEHEHE 0D HERE YES !!!!,1
😭😭😭😭😭stupid ass https://t.co/K1ZC2jhRoH,1
"RT @ClassiestQueen: I’m highkey in my feelings in the middle of the day. 

I’m a damn good friend. One you don’t come across often. I’m als…",0
RT @Francisco_vcm: seven pegs of holy cum #SuperMarioOdyssey #NintendoSwitch https://t.co/WxcoeaS5ij,0
@DoomisGod Blue retard,1
They ass grew up 😂😂 https://t.co/kSi6HBGo91,1
Just sold a #clip! Suck Him Off Sissy Slut #CoercedBi Get yours on #iWantClips! https://t.co/HOSbACIeHZ https://t.co/nk7c822YEo,0
@Zuckles why don’t you play fortnite anymore? What the fuck fucking VR chat shit irrelevant cunt love ya but,0
RT @darleneturner53: What the hell yall thought Pumbaa was suppose to look like? Piglet? https://t.co/c7HKcC4OiZ,0
"RT @GothiccFemboy: ""Don't worry. Guys who cum quick are the cutest to me~!""

""I just wanna keep milking you~"" https://t.co/TnDG7ioTtk",0
"@VinceMancini You're a good cunt, Vince. Enjoy the UK!",1
Bruh this pic has me WEAK omg https://t.co/tXWfIBBHml,0
@xDellWilliams @OneWay_Yunginn fuck them lol,0
"RT @djsnake: Fuck your label
Fuck the trends
Making money with my friends
@Malaamusic https://t.co/Y8pGFPMSjT",1
#independent https://t.co/YMb0lQHp3W,0
"RT @Gonzalovaa_: bitch, are you dumb-d-dumb-dumb-dumb-d-dumb-dumb-dumb? Stoopid https://t.co/ohbxPXa5yl",1
"Boo, you baby-handed whore",1
@qtrasibel bitch slut?,1
"Greg Ginn is a cunt but Nervous Breakdown is one of the best punk songs ever written, watch me fucking scream it when my band hits the stage",0
@BigWhite6604 @alloutkrazy @meleesadposts nope dude its the only person named trent in the world fucking dumbass big white more like big fukin dumbass bitch boi,1
"Niggas been telling me pregnant bitch pussy go crazy for years now

Guess I gotta do some investigating of my own🧐",1
Like a braided hair nigga I get it all back,0
"RT @IAmJericho: So great to have my sweetie cheering me on as I got my ass kicked at #DoubleOrNothing!! Now After a great show, we are Look…",1
RT @Pinter_Quotes: Who is this cunt anyway?,1
people be planning whole ass trips somewhere and cancel the whole thing because their s/o doesn’t “feel” like going anymore smh that shit wack like bitch you better pop out on your own,1
If the Sappy packaging is great then will the next album have the same quality as well? :( ugh I’m tired of jewel cases damn you SM. Give us a Summer Kit like your golden boys too @SMTOWNGLOBAL,0
@The_6ix_man He'll be rusty as hell tho offensively. But we need his defence fr,0
@sxvhoneeey Not really Nigga rap about drugs and Shit girls only rap about they pussy,0
"@Comey Go fuck yourself Comey, you are a traitor to our country....fucking communist, I will piss on your grave",1
SKSHDJHSBSHSBSBS https://t.co/XoSxYZE5Qo,0
Dean Windass has a new account https://t.co/UaUeH6m7ct,1
"That’s not wtf happened, “dumb bitch.” 

You right, you not a catfish, probably just an ugly cunt who can’t post his own face on the internet. Later ugly. https://t.co/letwzlXjaJ https://t.co/Tned1NHDzM",1
@TheLucasGintoki Morning cunt :),0
"@Alyssa_Milano I had thought he was a good actor back in the day, but he has gone off the #FarLeftDeepEnd, appears to be ready for an assisted living home. #StayInYourLane #HasBeen #FListerTryingToStayRelevant #NobodyCaresWhatAnOutOfTouchActorThinks",0
RT @admothot03L: Instagays when they can’t show their dick and ass in their posts https://t.co/jBNonHudE3,1
"@donnelly612 @RamieIsTweeting Ok dude, I think the people ripping Giannis are dumb too, but everything isn’t racism. Holy hell.",0
But on the other hand me and she cuss each other from the restaurant till we get home 😩😩 I hate people taking advantage of nice people carr wanna cunt man,0
"Morgana playing with his fat, rancid cock on the chair that Akira sits in. His dick cheese is pungent:",0
@yelimegan Shit now that I have idk what to do with it,0
"RT @CWhite1212: @MoreheadPatriot Damn it!
I was gonna do a brisket on the new smoker tomorrow, but not now.🤢🤮
Ribs it is! https://t.co/ywzA…",0
"RT @rabahzrl7: OH SHIIIIIIT, A GHOST

A MOTHERFUCKING GHOST

OHHHH SHIT 
OHHHH SHIT",0
RT @marica_1029: Another sale! Get one too! Asian pussy swallows up a big black cock https://t.co/treorOLiCg #MVSales #ManyVids https://t.c…,1
Y’all mutted the pussy cat suits 😒,1
". @NateNilsons I’ve been having issues where, every time I’m in a professional setting, I just immediately piss and shit my pants as a self-defense response. Please personally develop me.",0
@zopdyke @awonderland @fmuoasl luv the pussy power kandi,0
Imagine 😍 #crossdressing #tranny #sissy #cuckold #cumslut #slut #cumdump #cumtributeِ #legs #stockings #tights #toes #feet #gay #panties #mtf #pussy #cock #cum #sph #daddy #jailbait #schoolgirl #fettish #whore #upskirt https://t.co/kQMmqUHEMN,1
Ion Like Them Games No More 😭😭😭 https://t.co/khCGPepk5M,0
"No, it's not impossible. It's really very easy. You just remind yourself that he's a violent, racist, sexist cunt and... bingo! https://t.co/l6gYjno5OV",1
RT @JacyRacca: first of all WHY DONT I HAVE AN ASS secondly HOW DOES ONE MOVE AN ASS LIKE THAT https://t.co/3VpykRvyhp,1
Bitch shit lmaoooo “I’m still pretty” face ass https://t.co/AOmJnCnYv1,1
RT @keem_savage88: I want a nigga with a dick like mines n an fat ass so we can be freaky asf together 🤤🍆🍑💦,1
"RT @Analilia_Mejia: Such a privilege to see @DocMellyMel and @YoBenCohen connect on the importance of supporting grassroots activism, #Blac…",1
RT @therealkurlykyy: Men wouldn’t get pregnant cuz women never cum LMFAO,0
My Nigga! My Nigga! 🔥💪 https://t.co/ZxaIxxmzYo,0
I could have low key stayed my ass home last night... the club scene is just not for me anymore..  same old shit!,1
@queenzhazha 😂😂😂😂😂 you silly as hell,1
when in doubt slut it out,1
"@NatsumiKuzury6 💉: When in doubt, blame archery bitch!",0
@MrDtAFC Mate your fuck all u got fucked in the Europa league and you back in it again u fat cunt 🤣,0
Omg!!!! Freshman year in Drummond @AshlinMead4 @OliviaOKelley https://t.co/sQwzGrc84J,0
@QueenSaaida Ilyyyy bitch ❤️❤️❤️,0
RT @Cumslut_Hannah_: Please cock or tribute your slut Daddy https://t.co/9JWBmxCwiP,1
Me listening to Meg the Stallion rapping about the power of her pussy... https://t.co/acXsv1eXpA,1
@mlcalderone @joepompeo Between the fire walls &amp; this I guess the Times Really has a problem with their stories actually reaching people at all.  Nice one Times!  #Not,0
"@tsNikkiFox Stunning,just love your slim smooth body,your cock looks divine.",0
Y I K E S Ashley Labonne is a lying slimy cunt. Can’t relate but you do you girl,0
@TyraxeFN That’s gnarly ya tall cunt,1
"@realDonaldTrump Seriously America, why the hell are some of you supporting DJ Trump. He’s an embarrassment to you all. Trump and Kim Jong-un 'agree' Biden has a 'low IQ', White House says https://t.co/wjRZemA7IH",1
Some of the people I follow also follow what I can only assume is an alt for the person mentioned. It’s outstandingly pathetic that this person can’t just move the fuck on like the rest of us have. Blocked and reported. https://t.co/OvpaSwrNiO,1
"Bitch you already knew this, what you want me to do finger you before you go to bed https://t.co/3sa9lrWhNt",0
bro Calvin got me going in this dangerous ass neighborhood. 😒,1
Naughty f*ck slut in Heathrow all day get your bookings in early! 7496691771 https://t.co/ArVLeC5zrK,1
"this one just dey broadcast nonsense news with so much confidence

Someone that's in jail looool https://t.co/dX8k5Oi36y",0
RT @OneCreationLLC: @psychdr100 Everyone forgets that you have to watch the quiet ones. Trump is the tyrant that gets the crowd going and t…,0
@THEVinceRusso @TonyKhan @VinceMcMahon Russo is a fucking retard! WWE is a publicly traded company. Since they are they have to disclose information like this for their stock holders and Wall Street. Duh! Get fucking real that’s why you kill wrestling,1
"Groups of teenagers being shit drunk already, bawling most stupid things and leaving trash behind.
In Germany we call it ""Vatertag"" and I think that's beautiful.

#not #Vatertag #fathersday",1
"@RaysOrchestra I guess, extremely toxic behavior is normalized. I don't understand why she's watching that shit.",0
mind yall his hoes be ugly or retarded as hell or BOTH sooooo....,1
I swear when I ate that pussy I had some good form 🥴 #gang,1
@BunBun_kid You suck pussy,1
Her shit look stupid thou https://t.co/UWtdFHGUX2,1
"@Thomas1774Paine What a lousy thing to say to try to get people to vote for you. This kind of statement tells me she has no game. She has only hate to offer up. My nation doesn’t need more hate,  that’s for damn sure.",0
"HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA

Pussy. https://t.co/bkvVioQ3QU",0
"RT @gngdemi: demi doesn't so anything. she literally does nothing but watch her ufc tinder, make out with her dogs, wear the same outfit 95…",0
"@blessingfayiah they only wanna claim they black to say nigga, to get braids &amp; appropriate our culture but its really none of my business",0
Square up bitch https://t.co/xNldxZjXfN,0
"This is why we must stop the slut-shaming and victim-blaming. We cannot let people believe that a woman ""asks for it"" by the way she dresses or behaves.

No one, no matter what the circumstances, asks for rape.",1
"@Sharky_112 @duhraz @zeusJakey @CrypticOG99 @ForeverFelon Interesting I totally agree ""things get said when heated none of us really mean it"" instead of sitting on Twitter on ur high horse u ginger cunt how about use ur own logic instead of things get said u do things when shit gets heated no1 really means it",0
@jeopario @UnusualVideos @SimpTheSickJoke @sadboy_john Coward! I’ll beat your god-damn ass you son of a bitch!,1
RT @DiverseRelation: luv her eye contact get that cock sloppy Ana 😈😍😈 @AnaFoxxx @ErivanEsc @PinkKaside @ebonylover1972 @LATINCULOS @chocola…,0
Someone do this to me then fuck it in deeper... https://t.co/UmYmYT35xg,0
@soojiseta Twilight princess had ordonoians or whatever that had human ass wars and it fucks me up that they just show up in that one game,1
I knooowww 😩🤤 https://t.co/l5tQVVZ7T1,0
"RT @FactsOfSchool: *my logic during exams*

Well it can’t be A because the last 3 were, and B doesn’t make sense to me. Fuck it, haven’t pu…",0
RT @xmayumimichelle: i don’t mean to be a slut but can we c*ddle and h*g and h*ld h*nds🤭,1
@jayrayner1 I bet some cunt manages to disagree with this,0
RT @SpicySpvce: Sugar baby baku isnt in it for the money he loves kiri and his giant horse cock 😞👌🏼 so when kiri goes broke they buy a trai…,0
"RT @GirlsXR: 💦 #Pussy

@sexx_freak
@AdultBrazil
@whitegirlsnude
@nlheels
@Bmore_horny
@lyla_belle2
@WeFapToThis
@FineAssBitches https://t.c…",1
"RT @iline_janice: No nigga from the past can get me back no cocky shit, but losing me is a major L. Even though I’m crazy as all hell I kno…",0
"@sluthyuck oh, fuck! shit! BITCH!",1
"RT @gardnerverse: Cum to the dark side with Sith Sam! 
Art by @Pulp_Punk 
Would Marty be a Jedi, slave girl, or standard sort of Republic/R…",0
RT @bbigballs59: Looks like a real pussy. https://t.co/wGfiNsrrT3,1
i did this and i failed MISERABLY https://t.co/R9O1YAiLGp https://t.co/qgD3n2gP1n,0
And another thing stop being a fucking whore,1
Females be scared of a tiny ass spider and won’t eveb kill it but be dead ass ready to square up wit a 6’4 230lb man 🤦🏽‍♂️😂,1
RT @lildedjanet: God gave me big tiddies but no ass he think he funny,1
"@DamienStone92 I was going to say that chest,  those nipples when I realized THAT COCK 😋😍😘",0
@pcaulton @paulreidy67 @BenVerburg @danconnolly4 @darzmusic @patfargin @nfanning88 @Ric_2034 Should be banned for minimum 10 games for going up to the ref there. Cunt,0
Cerita Lelaki Lain. Does that make me a slut or a whore. https://t.co/zI8bGAdG88,1
@LanceMedow U r such a smart ass lance I love it,1
Ima Hood Classy Nigga,1
whoooooa  who  was  the  miserable  bastard? https://t.co/yFm7sqQGGq,0
Abt to get my hair braided but the lady has been getting on my DAMN nerves since I booked last week,0
RT @Jadaa_Wadaa: I hate a “why her” ass hoe.. because that nigga be having the time of his life with me bitch that’s why 😂😂😂😂,1
@Ri373Ash @abcnews Very well done 👍🏿 as not many white ppl know how strict black fella laws  are they should also include whistle cock to white society if it still exists,0
@auntviv_ Shit i’m the Give you the number to the payphone on my block old🤣🤣😫😫,0
@iPoonampandey Want to see ur video of close pussy..,1
@Drake fam don’t ever come near England again you fucking cunt https://t.co/eolC7l0Fxc,1
Yeah this is fucking dumb. Hard pass. Not leaving a zeds dead set cause some molly munching cunt decided to bring a whistle like anyone wants to hear that at a festival. Grow up https://t.co/DLkvUfoJP0,1
Bob cut bodi / must be matured . Must not behave like a lusty slut,1
@Harrison101HD Dammit what did we fuck up now?,0
RT @ZTentertainment: #ZTexclusive Busty wife @RICHELLERYAN suck &amp; rides the cock of younger stud @Nathan_Bronson while her hubby's watching…,0
Embarrassment Joshua ya cunt.,1
@SebastianKole You hit a nigga as big as Kane in the face.... https://t.co/ElRKSwc7YK,0
And even if he did get jumped FUCK HIM. Stop writing checks yo ass can’t cash. https://t.co/psZhprW29N,1
I remember I tried this idea on Pokémon yellow.... got my ass beat the fuck DOWNE! https://t.co/iJpgc7FMiw,1
@wittyymoon Perfect time to cry bitch,0
